=================
Siretta Limited
=================
GRAPHYTE Network Survey Results
www.siretta.com
+44 1189 769 000
Survey Type, 4G
File Created,24/03/23 12:06:26
IMEI Number,'351626102376784
Hardware Version,'GRAPHYTE LTE V2 (EU)
Application Version,'6.10.19
Firmware Version,'M0F.670010
Filename,'L3241204.csv
Timestamp,'0
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
1,24/03/23 12:06:26,4G,1,1300,-35,86,66,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-75,-20.0,20,1815.0,1720.0,Orange,||||||||||||||||||||||
1,24/03/23 12:06:26,4G,2,524,-37,84,64,208,01,20025090,24672,1,2100 MHz,-,-,-,-,345,-76,-20.0,15,2162.400,1972.400,Orange,|||||||||||||||||||||
1,24/03/23 12:06:26,4G,3,6400,-52,64,49,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-89,-20.0,10,816.0,857.0,Orange,||||||||||||||||
1,24/03/23 12:06:26,4G,4,9310,-54,61,47,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-91,-20.0,10,768.0,713.0,Orange,||||||||||||||||
1,24/03/23 12:06:26,4G,5,9385,-68,43,33,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-102,-20.0,5,775.500,720.500,Bouygues,|||||||||||
1,24/03/23 12:06:26,4G,6,6300,-68,43,33,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-105,-20.0,10,806.0,847.0,SFR,|||||||||||
1,24/03/23 12:06:26,4G,7,3000,-70,40,31,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-100,-11.0,20,2645.0,2525.0,Orange,||||||||||
1,24/03/23 12:06:26,4G,8,3175,-77,31,24,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-116,-20.0,15,2662.500,2542.500,Bouygues,||||||||
1,24/03/23 12:06:26,4G,9,9460,-80,27,21,208,15,103133767,3105,28,700 MHz,-,-,-,-,145,-117,-20.0,10,783.0,728.0,Free,|||||||
1,24/03/23 12:06:26,4G,10,1501,-84,22,17,208,10,160024580,49922,3,1800 MHz,-,-,-,-,436,-124,-20.0,20,1835.100,1740.100,SFR,||||||
1,24/03/23 12:06:26,4G,11,1850,-101,0,0,208,20,136425729,30125,3,1800 MHz,-,-,-,-,438,-124,-3.0,20,1870.0,1775.0,Bouygues,
1,24/03/23 12:06:26,4G,12,9235,-106,0,0,208,10,160024601,49922,28,700 MHz,-,-,-,-,436,-140,-20.0,5,760.500,705.500,SFR,
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
2,24/03/23 12:07:43,4G,1,1300,-49,68,52,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-75,-7.0,20,1815.0,1720.0,Orange,|||||||||||||||||
2,24/03/23 12:07:43,4G,3,6400,-53,63,48,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-90,-20.0,10,816.0,857.0,Orange,||||||||||||||||
2,24/03/23 12:07:43,4G,4,9310,-54,61,47,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-91,-20.0,10,768.0,713.0,Orange,||||||||||||||||
2,24/03/23 12:07:43,4G,7,3000,-57,57,44,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-97,-20.0,20,2645.0,2525.0,Orange,|||||||||||||||
2,24/03/23 12:07:43,4G,13,6200,-68,43,33,208,20,136422919,30125,20,800 MHz,-,-,-,-,438,-105,-20.0,10,796.0,837.0,Bouygues,|||||||||||
2,24/03/23 12:07:43,4G,5,9385,-70,40,31,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-104,-20.0,5,775.500,720.500,Bouygues,||||||||||
2,24/03/23 12:07:43,4G,6,6300,-78,30,23,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-107,-12.0,10,806.0,847.0,SFR,||||||||
2,24/03/23 12:07:43,4G,8,3175,-78,30,23,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-117,-20.0,15,2662.500,2542.500,Bouygues,||||||||
2,24/03/23 12:07:43,4G,12,9235,-106,0,0,208,10,160024601,49922,28,700 MHz,-,-,-,-,436,-140,-20.0,5,760.500,705.500,SFR,
2,24/03/23 12:07:43,4G,14,9235,-106,0,0,208,10,160028440,49922,28,700 MHz,-,-,-,-,137,-140,-20.0,5,760.500,705.500,SFR,
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
3,24/03/23 12:09:00,4G,1,1300,-46,72,55,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-75,-8.0,20,1815.0,1720.0,Orange,||||||||||||||||||
3,24/03/23 12:09:00,4G,3,6400,-54,61,47,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-91,-20.0,10,816.0,857.0,Orange,||||||||||||||||
3,24/03/23 12:09:00,4G,4,9310,-54,61,47,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-91,-20.0,10,768.0,713.0,Orange,||||||||||||||||
3,24/03/23 12:09:00,4G,7,3000,-58,56,43,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-98,-20.0,20,2645.0,2525.0,Orange,||||||||||||||
3,24/03/23 12:09:00,4G,5,9385,-71,39,30,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-105,-20.0,5,775.500,720.500,Bouygues,||||||||||
3,24/03/23 12:09:00,4G,6,6300,-72,38,29,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-109,-20.0,10,806.0,847.0,SFR,||||||||||
3,24/03/23 12:09:00,4G,15,3175,-79,28,22,208,20,136410628,30127,7,2600 MHz,-,-,-,-,130,-118,-20.0,15,2662.500,2542.500,Bouygues,|||||||
3,24/03/23 12:09:00,4G,9,9460,-94,9,7,208,15,103133767,3105,28,700 MHz,-,-,-,-,145,-117,-6.0,10,783.0,728.0,Free,|||
3,24/03/23 12:09:00,4G,11,1850,-84,22,17,208,20,136425729,30125,3,1800 MHz,-,-,-,-,438,-124,-20.0,20,1870.0,1775.0,Bouygues,||||||
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
4,24/03/23 12:10:17,4G,1,1300,-47,71,54,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-75,-8.0,20,1815.0,1720.0,Orange,||||||||||||||||||
4,24/03/23 12:10:17,4G,3,6400,-51,65,50,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-88,-20.0,10,816.0,857.0,Orange,|||||||||||||||||
4,24/03/23 12:10:17,4G,4,9310,-54,61,47,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-91,-20.0,10,768.0,713.0,Orange,||||||||||||||||
4,24/03/23 12:10:17,4G,7,3000,-57,57,44,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-97,-20.0,20,2645.0,2525.0,Orange,|||||||||||||||
4,24/03/23 12:10:17,4G,13,6200,-68,43,33,208,20,136422919,30125,20,800 MHz,-,-,-,-,438,-105,-20.0,10,796.0,837.0,Bouygues,|||||||||||
4,24/03/23 12:10:17,4G,5,9385,-74,35,27,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-108,-20.0,5,775.500,720.500,Bouygues,|||||||||
4,24/03/23 12:10:17,4G,6,6300,-71,39,30,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-108,-20.0,10,806.0,847.0,SFR,||||||||||
4,24/03/23 12:10:17,4G,8,3175,-78,30,23,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-117,-20.0,15,2662.500,2542.500,Bouygues,||||||||
4,24/03/23 12:10:17,4G,11,1850,-81,26,20,208,20,136425729,30125,3,1800 MHz,-,-,-,-,438,-121,-20.0,20,1870.0,1775.0,Bouygues,|||||||
4,24/03/23 12:10:17,4G,9,9460,-94,9,7,208,15,103133767,3105,28,700 MHz,-,-,-,-,145,-117,-6.0,10,783.0,728.0,Free,|||
4,24/03/23 12:10:17,4G,14,9235,-106,0,0,208,10,160028440,49922,28,700 MHz,-,-,-,-,137,-140,-20.0,5,760.500,705.500,SFR,
4,24/03/23 12:10:17,4G,12,9235,-106,0,0,208,10,160024601,49922,28,700 MHz,-,-,-,-,436,-140,-20.0,5,760.500,705.500,SFR,
