=================
Siretta Limited
=================
GRAPHYTE Network Survey Results
www.siretta.com
+44 1189 769 000
Survey Type, 4G
File Created,24/03/23 09:20:03
IMEI Number,'351626102376784
Hardware Version,'GRAPHYTE LTE V2 (EU)
Application Version,'6.10.19
Firmware Version,'M0F.670010
Filename,'L3240918.csv
Timestamp,'0
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
1,24/03/23 09:20:03,4G,1,3000,-33,89,68,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-73,-20.0,20,2645.0,2525.0,Orange,|||||||||||||||||||||||
1,24/03/23 09:20:03,4G,2,6400,-36,85,65,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-73,-20.0,10,816.0,857.0,Orange,||||||||||||||||||||||
1,24/03/23 09:20:03,4G,3,1300,-37,84,64,208,01,19772937,24674,3,1800 MHz,-,-,-,-,493,-77,-20.0,20,1815.0,1720.0,Orange,|||||||||||||||||||||
1,24/03/23 09:20:03,4G,4,9310,-40,80,61,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-77,-20.0,10,768.0,713.0,Orange,||||||||||||||||||||
1,24/03/23 09:20:03,4G,5,524,-46,72,55,208,01,19772940,24674,1,2100 MHz,-,-,-,-,316,-75,-10.0,15,2162.400,1972.400,Orange,||||||||||||||||||
1,24/03/23 09:20:03,4G,6,3175,-53,63,48,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-92,-20.0,15,2662.500,2542.500,Bouygues,||||||||||||||||
1,24/03/23 09:20:03,4G,7,227,-56,59,45,208,20,136425750,30125,1,2100 MHz,-,-,-,-,438,-95,-20.0,15,2132.700,1942.700,Bouygues,|||||||||||||||
1,24/03/23 09:20:03,4G,8,2825,-56,59,45,208,10,160024577,49922,7,2600 MHz,-,-,-,-,436,-95,-20.0,15,2627.500,2507.500,SFR,|||||||||||||||
1,24/03/23 09:20:03,4G,9,9385,-57,57,44,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-91,-20.0,5,775.500,720.500,Bouygues,|||||||||||||||
1,24/03/23 09:20:03,4G,10,6200,-57,57,44,208,20,136422919,30125,20,800 MHz,-,-,-,-,438,-94,-20.0,10,796.0,837.0,Bouygues,|||||||||||||||
1,24/03/23 09:20:03,4G,11,78,-60,53,41,208,10,160028434,49922,1,2100 MHz,-,-,-,-,137,-99,-20.0,15,2117.800,1927.800,SFR,||||||||||||||
1,24/03/23 09:20:03,4G,12,3350,-62,51,39,208,15,103133757,3105,7,2600 MHz,-,-,-,-,117,-101,-19.0,20,2680.0,2560.0,Free,|||||||||||||
