=================
Siretta Limited
=================
GRAPHYTE Network Survey Results
www.siretta.com
+44 1189 769 000
Survey Type, 4G
File Created,24/03/23 10:32:42
IMEI Number,'351626102376784
Hardware Version,'GRAPHYTE LTE V2 (EU)
Application Version,'6.10.19
Firmware Version,'M0F.670010
Filename,'L3241030.csv
Timestamp,'0
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
1,24/03/23 10:32:42,4G,1,524,-37,84,64,208,01,20025090,24672,1,2100 MHz,-,-,-,-,345,-76,-20.0,15,2162.400,1972.400,Orange,|||||||||||||||||||||
1,24/03/23 10:32:42,4G,2,1300,-39,81,62,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-79,-20.0,20,1815.0,1720.0,Orange,|||||||||||||||||||||
1,24/03/23 10:32:42,4G,3,6400,-52,64,49,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-89,-20.0,10,816.0,857.0,Orange,||||||||||||||||
1,24/03/23 10:32:42,4G,4,9310,-58,56,43,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-95,-20.0,10,768.0,713.0,Orange,||||||||||||||
1,24/03/23 10:32:42,4G,5,3000,-64,48,37,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-97,-12.0,20,2645.0,2525.0,Orange,||||||||||||
1,24/03/23 10:32:42,4G,6,9385,-68,43,33,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-102,-20.0,5,775.500,720.500,Bouygues,|||||||||||
1,24/03/23 10:32:42,4G,7,6300,-71,39,30,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-108,-20.0,10,806.0,847.0,SFR,||||||||||
1,24/03/23 10:32:42,4G,8,3175,-78,30,23,208,20,136410628,30127,7,2600 MHz,-,-,-,-,130,-117,-20.0,15,2662.500,2542.500,Bouygues,||||||||
1,24/03/23 10:32:42,4G,9,9460,-79,28,22,208,15,103133767,3105,28,700 MHz,-,-,-,-,145,-113,-17.0,10,783.0,728.0,Free,|||||||
1,24/03/23 10:32:42,4G,10,227,-81,26,20,208,20,136425750,30125,1,2100 MHz,-,-,-,-,438,-120,-20.0,15,2132.700,1942.700,Bouygues,|||||||
1,24/03/23 10:32:42,4G,11,1501,-86,19,15,208,10,160024580,49922,3,1800 MHz,-,-,-,-,436,-126,-20.0,20,1835.100,1740.100,SFR,|||||
1,24/03/23 10:32:42,4G,12,1850,-87,18,14,208,20,136425729,30125,3,1800 MHz,-,-,-,-,438,-127,-20.0,20,1870.0,1775.0,Bouygues,|||||
1,24/03/23 10:32:42,4G,13,78,-88,17,13,208,10,160028434,49922,1,2100 MHz,-,-,-,-,137,-127,-20.0,15,2117.800,1927.800,SFR,|||||
1,24/03/23 10:32:42,4G,14,9235,-106,0,0,208,10,160024601,49922,28,700 MHz,-,-,-,-,436,-140,-20.0,5,760.500,705.500,SFR,
1,24/03/23 10:32:42,4G,15,9235,-106,0,0,208,10,160028440,49922,28,700 MHz,-,-,-,-,137,-140,-20.0,5,760.500,705.500,SFR,
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
2,24/03/23 10:33:59,4G,2,1300,-51,65,50,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-77,-6.0,20,1815.0,1720.0,Orange,|||||||||||||||||
